id, title              , artist         , genre    , mood   , energy, tempo_bpm, valence, danceability, acousticness
 1, Sunrise City       , Neon Echo      , pop      , happy  ,   0.82,       118,    0.84,         0.79,         0.18
 2, Midnight Coding    , LoRoom         , lofi     , chill  ,   0.42,        78,    0.56,         0.62,         0.71
 3, Storm Runner       , Voltline       , rock     , intense,   0.91,       152,    0.48,         0.66,         0.10
 4, Library Rain       , Paper Lanterns , lofi     , chill  ,   0.35,        72,    0.60,         0.58,         0.86
 5, Gym Hero           , Max Pulse      , pop      , intense,   0.93,       132,    0.77,         0.88,         0.05
 6, Spacewalk Thoughts , Orbit Bloom    , ambient  , chill  ,   0.28,        60,    0.65,         0.41,         0.92
 7, Coffee Shop Stories, Slow Stereo    , jazz     , relaxed,   0.37,        90,    0.71,         0.54,         0.89
 8, Night Drive Loop   , Neon Echo      , synthwave, moody  ,   0.75,       110,    0.49,         0.73,         0.22
 9, Focus Flow         , LoRoom         , lofi     , focused,   0.40,        80,    0.59,         0.60,         0.78
10, Rooftop Lights     , Indigo Parade  , indie pop, happy  ,   0.76,       124,    0.81,         0.82,         0.35
11, Autumn Reverie     , Silent Keys    , classical, wistful,   0.25,        66,    0.30,         0.20,         0.95
12, Crown Speak        , Bold Cipher    , hip hop  , proud  ,   0.80,        95,    0.75,         0.85,         0.08
13, Dusty Road Home    , Wildflower Wade, country  , longing,   0.45,       100,    0.55,         0.50,         0.60
14, Island Sway        , Sunny Rootz    , reggae   , playful,   0.55,        88,    0.80,         0.70,         0.40
15, Iron Fury          , Black Anvil    , metal    , angry  ,   0.97,       168,    0.25,         0.55,         0.02
16, Mountain Promise   , Amber Trail    , folk     , hopeful,   0.50,       104,    0.68,         0.45,         0.75
17, Neon Pulse Rave    , Voltage Bloom  , edm      , elated ,   0.95,       128,    0.88,         0.90,         0.05
18, Rainy Delta Blues  , River Hollow   , blues    , sad    ,   0.30,        68,    0.28,         0.35,         0.70
19, Noche Caliente     , Ritmo Dorado   , latin    , sensual,   0.68,       100,    0.79,         0.83,         0.30
20, Broken Chain Riot  , Static Youth   , punk     , defiant,   0.90,       160,    0.55,         0.60,         0.05
